año,valor_VIIRS,estacion
2012,94.2914581298828,LBO
2012,75.4229125976562,CEN
2012,83.6562423706055,COR
2012,101.991676330566,PAL
2012,41.6386222839355,LMA
2012,2.89825177192688,DKS
2012,24.7916660308838,BB1
2012,57.2553062438965,BB2
2013,122.744209289551,LBO
2013,95.4896621704102,CEN
2013,115.124122619629,COR
2013,119.41764831543,PAL
2013,52.0015678405762,LMA
2013,3.81680464744568,DKS
2013,29.892068862915,BB1
2013,61.023120880127,BB2
2014,109.431823730469,LBO
2014,82.8125381469727,CEN
2014,98.3947525024414,COR
2014,107.262969970703,PAL
2014,45.0739402770996,LMA
2014,3.97640419006348,DKS
2014,26.4737968444824,BB1
2014,60.5909538269043,BB2
2015,118.972068786621,LBO
2015,81.4702682495117,CEN
2015,94.9687805175781,COR
2015,109.89176940918,PAL
2015,55.9893035888672,LMA
2015,4.60111570358276,DKS
2015,34.5890502929688,BB1
2015,65.4866790771484,BB2
2016,94.6107406616211,LBO
2016,60.8792572021484,CEN
2016,75.1404037475586,COR
2016,86.4828948974609,PAL
2016,46.5072860717773,LMA
2016,4.30728101730347,DKS
2016,28.0849533081055,BB1
2016,58.7911720275879,BB2
2017,85.4276962280273,LBO
2017,53.2218780517578,CEN
2017,75.1738357543945,COR
2017,82.0351104736328,PAL
2017,50.7831878662109,LMA
2017,4.61114883422852,DKS
2017,30.7184314727783,BB1
2017,60.4801864624023,BB2
2018,90.8201751708984,LBO
2018,57.7168846130371,CEN
2018,81.5237503051758,COR
2018,88.0031585693359,PAL
2018,55.7908325195312,LMA
2018,5.28347015380859,DKS
2018,29.6785945892334,BB1
2018,64.3070068359375,BB2
2019,87.0270385742188,LBO
2019,53.8438453674316,CEN
2019,78.3822555541992,COR
2019,83.4687576293945,PAL
2019,52.3302383422852,LMA
2019,5.1990966796875,DKS
2019,30.2525787353516,BB1
2019,60.1107444763184,BB2
